Stock,Volatility
ADANIENT,0.0286005237925087
ADANIPORTS,0.0260286434545126
APOLLOHOSP,0.0141345747050707
ASIANPAINT,0.0126646796709248
AXISBANK,0.0156249649291584
BAJAJ-AUTO,0.0176093699398215
BAJAJFINSV,0.0141178495438569
BAJFINANCE,0.0159184948977344
BEL,0.0232833920598751
BHARTIARTL,0.0136245077288292
BPCL,0.0220688511026649
BRITANNIA,0.0130392183699841
CIPLA,0.0163324157657603
COALINDIA,0.0214114491479055
DRREDDY,0.0124901002128858
EICHERMOT,0.016098898407438
GRASIM,0.0144651138119815
HCLTECH,0.0142946506811317
HDFCBANK,0.0134898004053822
HDFCLIFE,0.0146300772585872
HEROMOTOCO,0.016563238026907
HINDALCO,0.0195868364114309
HINDUNILVR,0.0120738957960637
ICICIBANK,0.0127888973881047
INDUSINDBK,0.0191111933352513
INFY,0.0144919130538682
ITC,0.0119437024583196
JSWSTEEL,0.0163839323567222
KOTAKBANK,0.0142156638822556
LT,0.0169639041500464
M&M,0.0192127729487868
MARUTI,0.0137124937724479
NESTLEIND,0.0125168336382368
NTPC,0.0194750117012966
ONGC,0.0222473121756833
POWERGRID,0.0186714422966643
RELIANCE,0.0135620671300733
SBILIFE,0.0151134284261964
SBIN,0.0179393448217401
SHRIRAMFIN,0.021686664608624
SUNPHARMA,0.0117328229377482
TATACONSUM,0.0148047736681353
TATAMOTORS,0.0178765051564171
TATASTEEL,0.0182316391523589
TCS,0.013161771587106
TECHM,0.0160198688749189
TITAN,0.0141358930386301
TRENT,0.0230737989326521
ULTRACEMCO,0.0143145967068882
WIPRO,0.0174678862819052
